year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,model
2018,790000,40890,1,0,1,0,10,148
2015,350000,34823,4,0,1,2,8,164
2017,750000,55545,1,0,1,0,11,196
2014,409999,56541,1,0,1,0,8,65
2016,220000,43700,4,1,1,0,9,312
2009,68000,120000,4,1,1,2,18,549
2017,290000,20000,4,1,1,0,9,306
2014,600000,27483,1,0,1,0,8,232
2019,470000,8000,4,1,1,0,11,994
2008,150000,30000,4,1,1,0,9,1270
2014,180000,56207,4,0,1,2,11,34
2006,80000,70000,4,1,1,0,11,1247
2018,875000,1440,4,1,1,0,8,1153
2019,300000,50000,4,1,1,0,11,34
2011,220000,63657,1,0,1,0,20,777
2013,250000,60000,1,1,1,0,10,1101
2016,919999,75000,1,0,1,0,19,596
2013,380000,97248,4,0,1,0,20,1090
2012,450000,46000,1,1,1,0,11,1000
2016,770000,10000,4,1,0,0,9,1116
2018,550000,80000,1,1,1,0,11,972
2011,320000,100000,1,1,1,2,18,737
2013,400000,35000,4,1,1,0,11,845
2017,450000,50000,4,1,0,0,11,180
2011,220000,90000,1,1,1,4,11,846
2012,400000,150000,1,1,1,2,10,1200
2013,530000,89000,4,1,1,2,9,1113
2014,390000,60000,1,1,1,2,11,979
2012,185000,100000,1,1,1,2,5,524
2012,300000,100000,4,1,1,2,11,845
2014,575000,90000,1,1,1,2,11,1001
2014,300000,75000,4,1,1,0,11,1173
2017,425000,36000,1,0,1,0,19,404
2016,350000,12000,4,1,1,0,9,1210
2017,550000,12997,1,0,1,0,8,79
2017,500000,40000,4,1,0,0,11,190
2015,600000,60000,1,1,1,0,10,915
2013,300000,25000,1,1,1,2,10,800
2018,1150000,26430,1,0,1,0,9,1126
2015,475000,24600,4,0,1,0,11,962
2011,260000,28481,4,0,1,0,11,1164
2013,350000,100000,4,1,1,0,7,329
2013,750000,41988,1,0,1,0,10,1200
2009,180000,30375,4,0,1,0,11,1164
2017,350000,7658,4,0,0,0,16,660
2017,611000,34400,1,0,1,0,11,979
2017,325000,18500,4,0,1,0,16,664
2012,225000,48000,4,0,1,0,9,301
2014,300000,28942,4,0,0,0,11,1154
2017,400000,50000,1,1,1,2,10,148
2012,711000,53600,1,0,1,0,10,1200
2015,851000,53652,1,0,1,0,19,598
2014,500000,25000,4,1,1,0,11,382
2007,250000,80000,1,1,1,2,19,603
2017,150000,50000,4,1,1,0,11,40
2016,610000,15000,1,1,1,2,10,898
2018,450000,5000,4,1,1,0,10,647
2017,744000,106000,1,1,1,0,9,1281
2008,120000,100000,4,1,1,4,3,935
2016,220000,60000,4,1,1,4,16,663
2012,480000,120000,1,1,1,1,11,386
2017,370000,82000,4,1,0,0,11,188
2011,260000,125000,1,1,1,4,9,1106
2015,350000,130000,1,1,1,0,5,680
2012,170000,97000,0,1,1,2,11,31
2015,350000,90000,4,1,1,2,9,523
2009,250000,60000,4,1,1,4,11,984
2013,170000,60000,1,1,1,0,18,574
2019,550000,25000,4,1,1,0,9,507
2017,400000,15000,4,1,1,0,8,159
2011,120000,20000,4,1,1,0,18,721
2011,120000,20000,4,1,1,0,18,721
2010,275000,70000,4,1,1,0,7,461
2016,285000,90000,4,1,1,0,18,1255
2016,900000,80000,1,1,1,0,9,267
2013,620000,70000,1,1,1,2,9,1111
2018,650000,15000,4,1,1,0,7,445
2014,500000,35000,4,1,1,0,11,382
2009,250000,120000,1,1,1,2,18,736
2018,950000,15000,1,1,1,2,10,701
2015,320000,60000,4,1,1,0,19,397
2013,450000,120000,1,1,1,0,16,287
2016,350000,90000,1,1,1,0,10,651
2015,400000,90000,4,1,1,0,11,982
2018,200000,10000,4,1,1,0,11,758
2009,250000,72000,1,1,1,2,9,1303
2011,450000,60000,4,1,0,4,9,1114
2018,615000,40000,4,1,1,0,11,983
2012,400000,60000,1,1,1,2,11,847
2013,60000,40000,4,1,1,0,18,719
2017,500000,9161,4,1,1,0,11,536
2015,600000,45000,4,1,1,0,8,714
2010,110000,110000,4,1,1,0,9,490
2013,175000,80000,4,1,1,0,9,880
2011,325000,100000,1,1,1,2,7,435
2017,425000,90000,1,1,1,0,11,972
2009,160000,70000,0,1,1,4,9,23
2007,100000,80000,4,1,1,4,11,1240
2014,390000,110000,1,1,1,2,11,972
2017,400000,50000,4,1,1,0,9,1280
2018,509999,5000,4,1,1,0,18,1070
2008,150000,90000,4,1,1,4,9,1262
2009,110000,120000,4,1,1,0,9,882
2013,450000,80000,1,1,1,0,14,949
2017,400000,38000,4,1,1,2,9,1280
2009,140000,120000,4,1,1,0,9,882
2011,130000,90000,1,1,1,0,18,574
2017,160000,50000,4,1,1,0,11,34
2016,150000,60000,4,1,1,0,11,34
2013,500000,100000,1,1,1,2,10,1200
2011,40000,19000,4,1,1,0,18,725
2015,227000,70000,1,1,1,2,10,1098
2011,285000,50000,1,1,1,2,11,1000
2012,155000,19077,4,1,1,2,11,52
2016,210000,30000,4,1,1,0,9,303
2009,140000,80000,4,1,1,2,11,55
2015,940000,128000,1,1,1,0,19,604
2013,750000,80000,1,1,1,0,14,1048
2016,610000,100000,1,1,1,0,11,113
2015,450000,50000,1,1,1,0,14,952
2012,409999,56000,1,1,1,0,19,406
2018,100000,21302,4,1,1,0,9,301
2018,300000,10500,4,1,1,0,16,657
2013,400000,107000,1,1,1,0,10,137
2010,210000,60000,4,1,1,2,9,1270
2006,90000,120000,4,1,1,2,9,887
2010,222000,70000,4,1,1,0,11,1165
2015,240000,50000,4,1,1,2,11,34
2013,450000,70000,1,1,1,2,19,406
2013,450000,1000,1,0,1,2,16,291
2016,535000,52600,1,1,1,0,9,273
2012,225000,110000,4,1,1,2,11,845
2017,550000,19890,4,0,0,0,9,504
2016,670000,7104,4,2,1,0,11,1020
2015,625000,11918,4,2,1,0,11,382
2017,520000,10510,4,0,0,0,9,519
2016,239000,41000,4,0,1,0,3,134
2015,750000,45974,1,2,1,0,11,837
2012,229999,49824,4,0,1,0,9,1261
2005,80000,56580,4,0,1,0,9,872
2012,385000,52000,1,0,1,0,17,673
2015,760000,55340,4,2,1,0,9,1118
2017,600000,46507,1,2,1,0,11,979
2013,450000,1000,1,0,1,2,16,291
2016,535000,52600,1,1,1,0,9,273
2012,225000,110000,4,1,1,2,11,845
2017,550000,19890,4,0,0,0,9,504
2016,670000,7104,4,2,1,0,11,1020
2015,625000,11918,4,2,1,0,11,382
2017,520000,10510,4,0,0,0,9,519
2016,239000,41000,4,0,1,0,3,134
2015,750000,45974,1,2,1,0,11,837
2012,229999,49824,4,0,1,0,9,1261
2005,80000,56580,4,0,1,0,9,872
2012,385000,52000,1,0,1,0,17,673
2015,760000,55340,4,2,1,0,9,1118
2017,600000,46507,1,2,1,0,11,979
2012,735000,55300,1,0,0,0,20,643
2012,285000,74300,1,0,1,0,18,564
2010,350000,48781,4,0,1,0,8,226
2010,290000,87620,1,0,0,0,20,637
2017,890000,40219,1,0,0,0,20,1081
2011,385000,11473,4,0,1,0,8,632
2017,425000,8352,4,0,1,0,11,342
2017,525000,9745,4,0,0,0,11,1176
2017,550000,9748,4,0,1,0,9,511
2012,271000,49000,4,0,1,0,20,771
2015,490000,31080,4,0,1,0,9,512
2014,260000,37605,4,0,1,0,9,306
2014,455000,55850,1,0,1,0,9,1204
2010,75000,58850,4,0,1,0,18,723
2015,421000,23839,4,0,1,0,19,397
2016,550000,54000,1,0,1,0,11,965
2013,330000,38000,4,0,0,0,9,1271
2012,390000,45454,1,0,1,0,20,1077
2015,599000,46957,1,0,0,0,17,801
2007,110000,60000,4,1,1,1,9,493
2016,250000,25000,4,1,1,0,16,667
2012,600000,110000,1,1,1,1,10,911
2008,80000,90000,4,1,1,0,10,822
2019,350000,5000,4,1,1,0,11,47
2015,475000,60000,1,1,1,0,11,1001
2018,500000,50000,1,1,1,0,11,979
2014,250000,120000,1,1,1,0,3,861
2005,100000,120000,1,1,1,2,9,19
2019,350000,5000,4,1,1,0,11,50
2005,95000,120000,4,1,1,2,9,885
2015,409999,58000,1,1,1,0,9,517
2018,1050000,35000,1,1,1,0,10,1195
2017,320000,30000,4,1,1,0,11,47
2019,1000000,10000,1,1,1,0,10,1190
2018,950000,20000,1,1,1,0,10,1051
2018,750000,50000,1,1,1,0,11,986
2014,220000,42000,4,1,1,0,9,312
2017,1000000,50000,1,1,1,0,18,532
2017,660000,116000,1,1,1,0,8,710
2015,716000,100000,1,1,1,0,11,386
2015,675000,66000,4,1,1,0,11,208
2010,385000,110000,1,1,1,4,10,909
2014,325000,70000,1,1,1,0,5,527
2015,950000,60000,1,1,1,0,9,274
2007,400000,110000,1,1,0,1,7,366
2014,250000,25000,1,1,1,0,18,568
2014,210000,20000,4,1,1,0,11,34
2011,147000,110000,4,1,1,2,9,1260
2018,725000,26350,1,1,1,0,11,1145
2012,550000,90000,1,1,1,0,10,920
2016,475000,25000,4,1,1,0,9,1314
2014,250000,50000,4,1,1,2,9,882
2006,70000,60000,4,1,1,2,18,550
2012,160000,70000,4,1,1,4,9,306
2011,1000000,90000,1,1,0,2,7,363
2017,500000,26500,4,1,1,0,9,502
2013,170000,60000,1,1,1,0,18,574
2020,1050000,10000,1,1,1,0,9,271
2009,300000,15000,4,1,1,0,11,827
2016,600000,25000,4,1,1,0,9,1307
2017,900000,50000,1,1,1,0,9,1125
2019,550000,25000,4,1,1,0,9,507
2007,100000,52000,4,1,1,2,11,52
2017,400000,15000,4,1,1,0,8,159
2011,120000,20000,4,1,1,0,18,721
2013,300000,90000,1,1,1,0,9,1302
2011,140000,60000,1,1,1,2,18,590
2015,640000,23000,4,1,1,0,17,810
2018,380000,22155,4,1,1,0,11,47
2011,120000,20000,4,1,1,0,18,721
2018,650000,70000,4,1,1,0,11,192
2009,150000,60000,4,1,1,2,11,52
2018,550000,35000,4,1,1,0,7,446
2012,650000,71042,1,0,1,0,10,1201
2012,1025000,167870,1,0,1,2,13,768
2011,195000,133564,1,0,1,0,7,424
2018,1140000,23038,4,2,0,0,8,243
2011,95000,70000,1,1,1,0,3,127
2017,550000,19890,4,0,0,0,9,504
2015,625000,11918,4,2,1,0,11,382
2017,520000,10510,4,0,0,0,9,519
2016,239000,41000,4,0,1,0,3,134
2012,229999,49824,4,0,1,0,9,1261
2017,585000,43608,4,2,1,0,11,115
2018,825000,11212,4,2,0,0,11,114
2013,280000,52000,1,0,1,0,9,1287
2016,725000,49217,4,2,1,0,11,122
2015,300000,90000,1,1,1,0,10,1099
2015,375000,70000,4,1,1,0,9,1209
2012,400000,80000,1,1,1,2,18,1214
2014,550000,80000,1,1,1,2,14,1046
2018,270000,20000,4,1,1,0,11,344
2012,555000,110000,1,1,1,2,11,386
2013,500000,60000,1,1,1,2,7,330
2010,400000,130000,1,1,0,2,17,674
2017,280000,28838,4,1,1,0,9,301
2006,55000,100000,1,1,1,0,18,548
2014,250000,50000,4,1,1,0,11,35
2007,95000,100000,1,1,1,2,10,635
2014,725000,135000,1,1,1,2,10,898
2015,320000,50000,1,1,1,4,10,145
2012,160000,50000,1,1,1,0,3,127
2018,790000,19571,1,0,1,0,8,627
2011,175000,70000,4,1,1,0,11,994
2018,950000,15000,1,1,0,0,11,1149
2019,340000,50000,4,1,1,0,11,176
2017,825000,13500,1,1,1,0,16,173
2018,780000,25000,1,0,1,0,8,78
2010,350000,80000,4,1,0,4,19,256
2018,690000,39000,4,0,1,0,8,80
2016,245000,60000,4,1,1,0,11,40
2018,790000,49000,1,0,1,0,8,78
2018,680000,48600,4,0,1,0,8,82
2017,540000,20000,4,1,1,2,9,512
2016,425000,25000,4,1,1,0,10,652
2008,140000,120000,4,1,1,0,11,1242
2019,1100000,30000,1,1,1,0,11,387
2015,715000,35000,1,1,1,0,16,686
2018,400000,54000,4,0,1,2,18,1256
2005,114999,90000,4,0,1,2,9,892
2018,950000,21394,1,0,1,0,7,322
2015,310000,32686,4,0,1,0,4,488
2006,575000,1001,1,0,1,0,10,634
2017,490000,22000,1,0,1,0,16,788
2017,480000,53261,4,0,1,0,9,518
2018,370000,10000,4,0,1,0,16,657
2017,835000,14000,1,0,1,0,11,113
2017,650000,44000,4,0,1,0,20,778
2014,670000,39895,1,0,1,0,19,411
2017,950000,73000,1,0,0,0,3,285
2014,690000,17000,4,0,1,0,8,244
2017,670000,18591,4,0,1,0,20,778
2017,925000,26766,1,0,1,0,18,746
2015,250000,30000,4,1,1,0,9,312
2016,509999,42000,1,1,1,0,18,943
2014,520000,110000,1,1,1,0,8,231
2005,100000,100000,1,1,1,0,18,547
2009,130000,110000,1,1,1,4,18,590
2018,950000,27620,1,0,1,0,7,322
2015,450000,70000,4,1,1,0,7,445
2012,320000,50000,4,1,1,2,8,222
2015,480000,50000,1,1,1,0,11,979
2012,790000,82000,1,1,1,0,19,616
2016,120000,120000,4,1,1,0,11,758
2006,75000,80000,4,1,1,4,11,55
2010,99000,70000,4,1,1,0,18,549
2018,1015000,20000,1,1,1,0,11,837
2011,520000,120000,1,1,1,0,19,619
2018,1100000,30000,1,1,0,0,9,1123
2016,525000,60000,1,1,1,0,11,979
2016,500000,40000,4,1,1,0,9,1301
2016,675000,161327,1,1,1,0,10,913
2009,150000,60000,4,1,1,4,9,1266
2007,250000,50000,1,1,1,0,10,141
2018,450000,6000,4,1,1,0,9,507
2009,150000,68000,4,1,1,2,9,894
2012,200000,85000,1,1,1,0,3,127
2011,525000,70000,1,1,0,0,10,923
2010,180000,100000,1,1,1,2,11,1013
2015,475000,110000,1,1,1,0,8,71
2015,285000,46000,4,1,1,2,11,34
2008,91200,60000,4,1,1,2,11,56
2017,250000,46000,4,1,1,0,4,821
2015,400000,42000,1,1,1,0,9,517
2006,160000,90000,4,1,0,2,9,886
2012,650000,85000,1,1,1,2,17,1234
2012,409999,120000,1,1,1,4,9,1110
2013,425000,72000,1,1,1,0,7,331
2013,250000,71000,0,1,1,2,11,1167
2009,200000,110000,4,1,1,1,11,984
2013,250000,71000,0,1,1,2,11,1167
2010,130000,144000,1,1,1,1,20,781
2017,260000,30000,4,0,1,0,11,342
2007,155000,65000,4,0,1,0,9,1130
2015,450000,38000,1,1,1,0,8,627
2012,220000,90000,4,1,1,2,11,840
2018,650000,37000,1,0,1,0,9,1295
2018,285000,30000,4,0,1,0,11,34
2018,725000,26000,4,0,0,0,8,75
2016,625000,30000,4,0,1,0,11,207
2016,550000,23000,4,0,1,0,9,1297
2012,240000,40000,4,0,1,0,9,1261
2014,600000,27000,1,0,1,0,14,1044
2012,350000,65000,1,0,1,0,18,735
2015,245000,32000,4,0,1,0,9,312
2016,600000,56000,1,0,1,0,10,140
2014,620000,80000,1,0,1,0,10,918
2014,395000,52000,4,0,1,2,11,967
2014,635000,13250,4,0,1,0,11,388
2011,180000,36000,4,0,1,0,11,52
2015,484999,73000,1,0,1,2,11,1015
2004,110000,60000,4,1,1,0,11,52
2006,150000,60000,4,1,1,2,11,1180
2012,400000,110000,1,1,1,0,3,1034
2012,200000,70000,1,1,1,2,18,563
2013,302000,60000,1,1,1,2,16,293
2011,215000,90000,1,1,1,1,11,985
2004,155000,80000,4,1,1,2,11,1180
2014,1000000,101000,1,1,1,2,19,598
2018,550000,44000,1,1,1,0,10,148
2006,200000,45000,4,1,1,0,11,963
2017,750000,120000,1,1,1,0,10,913
2005,90000,90000,4,1,1,2,11,1247
2007,80000,120000,4,1,1,2,11,1171
2013,229999,13500,4,1,1,0,9,304
2017,350000,10000,4,1,1,0,16,657
2015,325000,25000,4,1,1,4,9,518
2018,450000,8500,4,1,1,0,18,1071
2012,250000,120000,1,1,1,0,11,839
2012,225000,120000,1,1,1,0,20,779
2009,150000,90246,4,1,1,4,11,55
2008,110000,90000,4,1,1,2,11,53
2010,150000,40000,4,1,1,2,11,56
2017,610000,32000,1,1,1,2,16,291
2013,170000,60400,1,1,1,0,18,698
2008,150000,70950,1,1,1,2,9,1121
2013,300000,90000,1,1,1,0,9,1302
2015,375000,72000,1,1,1,0,9,1202
2013,390000,90000,1,1,1,0,11,1000
2017,600000,10000,4,1,1,0,9,1291
2014,204999,25000,4,1,1,2,11,34
2009,270000,80000,1,1,1,2,9,1121
2017,375000,10000,4,1,1,0,9,523
2020,700000,1100,4,1,1,0,11,122
2017,455000,40000,4,1,1,0,11,1009
2017,375000,10000,4,1,1,0,9,1269
2014,341000,31491,4,1,1,0,9,511
2014,200000,107143,1,1,1,2,11,979
2017,450000,15000,4,1,0,0,11,535
2012,170000,50000,4,1,1,2,9,880
2016,500000,60000,1,1,1,0,10,144
2016,819999,85000,1,1,1,0,11,1147
2014,351000,40000,4,1,1,2,11,959
2011,195000,80000,4,1,1,2,9,1266
2008,250000,82000,1,1,1,2,11,981
2008,120000,70000,4,1,1,2,11,1236
2009,180000,70000,4,1,1,4,11,15
2016,430000,20000,1,1,1,0,10,649
2012,75000,35000,4,1,1,2,18,718
2017,750000,80000,1,1,1,0,10,1220
2011,60000,40000,4,1,1,0,18,721
2011,390000,150000,1,1,1,1,10,153
2016,630000,50000,1,1,1,0,10,1026
2018,1085000,15000,1,1,1,0,18,855
2012,190000,60000,4,1,1,2,9,1266
2018,550000,25000,4,1,0,0,11,117
2012,200000,90000,4,1,1,4,11,34
2011,165000,60000,4,1,1,0,3,937
2013,260000,65000,1,1,1,0,7,454
2011,151000,40000,4,1,1,0,11,52
2018,780000,50000,1,1,1,0,11,1144
2012,175000,80000,1,1,1,4,18,566
2010,170000,107500,1,0,1,0,18,568
2013,210000,135000,1,0,1,2,18,568
2007,90000,43826,4,0,1,2,11,55
2016,535000,55838,4,0,1,0,9,1296
2007,195000,112880,1,0,1,0,11,1001
2011,140000,90000,1,1,1,4,18,571
2012,350000,40000,4,1,1,0,14,950
2013,425000,66000,4,1,1,0,9,1113
2017,300000,30300,4,1,1,0,16,657
2013,340000,85000,1,1,1,2,20,1087
2009,250000,80659,4,0,1,0,11,984
2008,170000,81324,4,0,1,0,3,96
2013,315000,127884,1,0,1,0,8,71
2015,200000,50000,4,1,1,0,3,135
2016,300000,25000,4,1,1,0,3,135
2015,300000,66755,1,0,1,0,8,71
2013,380000,123084,4,0,1,0,8,220
2013,310000,95851,1,0,1,0,8,71
2010,260000,50000,4,1,1,0,11,1182
2008,150000,50000,4,1,1,2,11,752
2006,85000,60000,4,1,1,2,11,393
2015,280000,15000,4,1,1,2,11,34
2016,850000,40000,1,1,1,0,10,1230
2017,375000,20000,4,1,1,2,4,484
2006,125000,120000,1,1,1,4,9,347
2012,250000,110000,1,1,1,0,3,128
2011,220000,70000,1,1,1,0,9,1283
2010,110000,110000,1,1,1,2,18,555
2007,150000,84000,4,1,1,2,9,1140
2012,300000,170000,1,1,1,0,14,949
2017,220000,40000,4,1,1,0,4,821
2006,75000,96000,4,1,1,2,11,1160
2009,100000,20000,1,1,1,0,18,587
2016,380000,15000,4,1,1,0,7,446
2007,100000,50000,4,1,1,0,9,889
2010,480000,80000,4,1,1,2,20,770
2012,300000,124000,1,1,1,0,19,399
2013,190000,70000,1,1,1,0,3,127
2012,190000,130000,1,1,1,2,7,456
2017,650000,19014,4,0,1,0,7,326
2009,300000,23262,4,0,1,0,19,264
2016,700000,29600,1,0,1,0,7,471
2015,310000,35925,4,0,1,0,9,1269
2018,500000,12000,4,1,1,0,11,539
2013,415000,40771,4,0,1,0,19,410
2015,395000,30500,4,0,0,2,11,180
2014,430000,42000,4,0,1,2,19,401
2007,215000,55800,4,0,1,2,19,266
2014,550000,66569,1,0,1,0,16,296
2014,415000,81358,1,0,1,0,20,777
2015,450000,82695,1,0,1,0,20,775
2014,285000,68293,1,0,1,2,7,455
2016,580000,32000,4,0,0,0,8,633
2006,78000,64700,4,1,1,0,11,12
2016,400000,88470,1,1,1,0,18,1252
2016,850000,75000,1,1,1,0,9,1107
2013,450000,120000,1,1,1,2,20,1086
2017,780000,70000,1,1,1,0,19,395
2020,350000,1000,4,1,1,0,11,40
2013,285000,120000,1,1,1,2,10,799
2015,525000,98000,1,0,1,0,20,1079
2014,550000,90000,1,0,1,2,11,203
2018,580000,70000,1,1,1,0,20,84
2013,75000,25000,4,1,1,4,18,716
2009,185000,60000,1,1,1,4,18,691
2007,110000,90000,4,1,1,1,11,754
2010,350000,110000,1,1,1,2,20,779
2005,60000,126000,4,1,1,2,3,762
2018,695000,70000,1,1,1,0,10,1024
2007,135000,74183,4,1,1,2,11,1237
2015,640000,70000,1,1,1,2,10,145
2014,160000,90000,4,1,1,0,11,40
2004,80000,46000,4,1,1,2,18,551
2013,340000,110000,1,1,1,2,11,979
2012,110000,80000,1,1,1,2,11,830
2013,250000,90000,1,1,1,2,18,943
2014,250000,1,1,1,1,2,10,799
2013,240000,70000,4,1,1,1,11,1163
2007,225000,120000,1,1,1,2,10,142
2015,275000,60000,4,1,1,2,11,1183
2012,320000,120000,1,1,1,2,18,946
2008,75000,120000,4,1,1,0,11,53
2007,85000,50000,4,1,1,2,18,549
2009,90000,120000,1,1,1,0,18,559
2007,85000,80000,4,1,1,2,11,1171
2008,350000,80000,1,1,1,2,10,911
2009,355000,100000,1,1,0,2,17,956
2020,619000,1500,4,1,1,0,11,1006
2006,55000,100000,1,1,1,2,18,546
2006,95000,83411,4,1,1,0,7,428
2011,300000,120000,1,1,1,2,20,1086
2006,81000,83411,4,1,1,0,7,428
2015,1000000,80000,1,1,0,2,17,956
2019,925000,50000,1,1,1,0,11,380
2015,450000,40000,1,1,1,0,10,145
2014,600000,13270,1,1,1,0,10,908
2006,85000,100000,4,1,0,4,9,891
2016,700000,50000,1,1,1,0,10,1055
2017,486000,26500,4,1,1,0,9,505
2013,400000,90000,1,1,1,0,11,1000
2008,120000,100000,4,1,1,4,7,418
2018,275000,35000,4,1,1,0,11,34
2016,580000,57000,1,1,1,0,9,1305
2015,375000,70000,4,1,1,0,11,976
2015,229999,100000,4,1,1,4,11,1178
2010,110000,88000,4,1,1,2,11,52
2017,600000,60000,1,1,1,0,11,979
2009,120000,76000,4,1,1,2,11,15
2010,200000,100000,1,1,1,2,7,457
2012,450000,110000,1,1,1,2,9,1111
2012,550000,80000,1,1,1,2,9,1111
2012,220000,80000,4,1,1,2,11,52
2017,300000,20000,4,1,0,0,16,659
2018,630000,40000,1,1,1,0,10,147
2017,610000,40000,1,1,1,2,11,979
2019,660000,7000,4,1,1,2,9,1212
2012,220000,80000,3,1,1,2,11,1170
2011,138000,90000,1,1,1,2,14,706
2013,210000,13770,1,1,1,0,14,706
2005,125000,34000,4,0,1,0,11,1248
2008,125000,102000,4,0,1,0,11,56
2014,725000,110000,1,1,1,0,8,229
2011,170000,90000,4,1,1,2,11,42
2007,100000,70000,4,1,1,2,11,55
2006,300000,80000,4,1,1,2,8,246
2013,450000,100000,1,1,1,2,11,1000
2015,530000,100000,1,1,1,0,11,979
2007,100000,143000,4,1,1,4,11,1235
2010,350000,115000,4,1,1,2,8,218
2011,165000,100000,1,1,1,2,18,699
2019,475000,120000,1,1,1,2,11,986
2013,350000,42000,1,1,1,0,10,1224
2016,229999,38000,4,1,1,0,16,663
2018,800000,35000,1,1,1,0,8,1152
2014,475000,120000,1,1,1,2,11,986
2014,425000,136906,1,1,1,0,14,1043
2015,660000,97000,1,1,1,2,11,199
2019,610000,10000,4,1,0,0,8,67
2013,240000,50000,4,1,1,4,8,164
2005,70000,60000,4,1,1,2,11,390
2011,550000,120000,1,1,1,0,19,259
2010,100000,120000,4,1,1,2,18,560
2010,350000,90000,1,1,1,2,10,150
2013,200000,120000,4,1,1,0,9,306
2019,720000,3000,4,1,0,0,9,352
2014,350000,133000,1,1,1,0,11,830
2016,400000,25000,4,1,1,0,11,1177
2017,570000,35000,4,1,1,0,9,1291
2015,130000,70000,4,1,1,0,11,758
2016,210000,52000,4,1,1,0,11,34
2018,800000,52000,1,1,1,0,9,270
2017,700000,39000,1,1,1,0,8,623
2011,200000,28689,1,1,1,0,18,567
2014,495000,90000,1,1,1,2,18,89
2014,325000,80322,1,0,1,0,7,429
2019,650000,8000,4,1,1,0,7,475
2007,75000,90000,4,1,1,2,11,6
2015,350000,61658,1,0,1,0,9,500
2010,90000,50000,4,1,1,4,11,1238
2016,600000,80000,1,1,1,0,11,377
2014,370000,57000,1,1,1,2,11,1001
2004,125000,120000,4,1,1,2,8,213
2019,650000,20000,4,1,0,0,9,504
2017,800000,30600,4,1,0,0,11,373
2020,802000,5000,4,1,1,0,20,772
2016,430000,35000,1,1,1,0,9,1203
2017,650000,23000,4,1,1,0,9,1112
2004,170000,120000,1,1,1,0,10,904
2013,250000,87000,4,1,1,0,11,34
2014,550000,72000,4,1,1,2,7,328
2007,140000,100000,4,1,1,2,11,1243
2012,155000,12000,4,1,1,0,3,132
2010,120000,67000,4,1,1,4,9,20
2012,287000,70000,1,1,1,0,19,594
2016,675000,60000,1,1,1,0,11,113
2011,235000,74500,4,1,1,2,9,1266
2011,300000,118700,1,1,1,2,9,1282
2015,434999,40000,4,1,0,2,14,709
2006,160000,140000,4,1,1,2,19,254
2020,600000,5000,4,1,1,0,9,522
2016,470000,100000,1,1,1,2,3,1038
2011,300000,100000,4,1,1,2,11,984
2018,600000,2000,4,1,1,0,11,115
2020,640000,4000,4,1,0,0,9,520
2006,50000,120000,1,1,1,1,18,548
2015,600000,35000,4,1,1,0,9,1117
2014,290000,29000,3,1,1,0,9,1267
2015,600000,30000,4,1,1,0,9,1117
2012,190000,120000,1,1,1,0,18,688
2008,160000,110000,4,1,1,4,9,1259
2017,325000,15000,4,1,1,0,11,47
2006,200000,73756,1,1,1,0,10,141
2011,125000,60000,4,1,1,4,3,936
2008,155000,60000,4,1,1,1,9,1262
2015,550000,90000,1,1,1,0,9,1302
2009,130000,70000,4,1,1,1,11,1162
2015,500000,80000,1,1,1,2,19,398
2019,250000,27000,4,1,1,0,16,666
2012,580000,70000,1,1,1,0,10,1200
2014,200000,90000,1,1,1,2,7,457
2015,350000,80000,1,1,1,2,19,398
2012,600000,80000,1,1,1,2,10,1201
2019,650000,4000,4,1,1,0,8,631
2008,120000,40000,4,1,1,0,11,14
2010,180000,120000,1,1,1,2,18,735
2018,950000,41395,4,1,0,0,9,1138
2012,250999,35000,1,1,1,2,18,692
2012,385000,52000,1,0,1,0,17,673
2013,165000,50000,4,1,1,0,3,132
2015,700000,48000,4,0,1,0,9,350
2015,750000,53000,1,0,1,0,10,1201
2018,290000,15000,4,0,0,0,4,1316
2014,45000,7000,4,1,1,2,18,717
2013,675000,88000,1,0,0,0,17,955
2015,530000,55000,1,0,1,0,14,1046
2014,325000,71014,1,0,1,0,3,369
2015,400000,60000,1,0,1,0,8,68
2017,380000,71000,1,0,1,0,10,646
2016,750000,45000,4,0,0,0,8,242
2017,390000,45000,4,0,1,0,8,167
2009,110000,20000,4,1,1,0,11,55
2015,370000,60000,1,0,1,0,16,896
2013,210000,80000,1,1,1,2,3,128
2012,575000,89550,1,1,1,2,9,1111
2010,320000,90000,1,1,1,4,10,1220
2010,280000,149500,1,1,1,4,11,998
2013,380000,83000,1,0,1,0,7,432
2005,120000,20000,4,1,1,2,11,6
2018,395000,20000,4,1,1,0,11,342
2010,360000,160000,1,1,1,0,17,670
2015,451000,100000,1,1,1,0,14,1046
2010,175000,45000,4,1,1,2,3,936
2009,170000,44800,4,1,1,2,3,936
2006,100000,40000,4,1,1,2,9,892
2014,150000,120000,4,1,1,4,11,758
2011,149000,10000,1,1,1,2,18,566
2011,160000,80000,1,1,1,2,18,555
2018,434999,10000,4,1,1,0,4,485
2014,800000,156000,1,1,1,0,10,1201
2010,819999,120000,1,1,1,2,19,613
2007,163000,100000,4,1,1,2,11,121
2006,75000,100000,4,1,1,2,18,549
2012,180000,60000,4,1,1,2,11,55
2017,675000,30000,1,1,1,0,7,450
2013,400000,170000,1,1,1,0,11,1000
2013,434999,100000,1,1,1,2,20,780
2006,100000,110000,4,1,1,2,18,584
